product_id,months_included,n_rows,actual_total,pred_total,mae,rmse,smape,wape,bias_ratio
LC405,6,6,1635.0,1186.3669857465559,123.477219458805,139.677570234733,0.5107446559743075,0.45312741085799996,-0.27439328088895665
LC209,6,6,1135.0,902.807313923342,144.74097568211025,158.67627433276186,1.0316711688993436,0.7651505322402303,-0.20457505381203342
LC205,6,6,1129.0,735.7368120878907,82.16630334307241,92.4507005274129,0.5067076660729699,0.4366676882714211,-0.34832877583003485
LC983,6,6,1118.0,886.694278778454,98.58375221979635,122.87286821709095,0.7220226384795474,0.529072015490857,-0.2068924161194509
LC207,6,6,1072.0,776.9995262878391,100.8499628643786,120.45346772778274,0.7090380808810052,0.5644587473752534,-0.2751870090598516
LC555,6,6,1017.0,1112.6920147458181,53.904377271160314,68.3928680454113,0.35502738626528263,0.31801992490360065,0.09409244321122742
LC240,6,6,997.0,488.29704622243395,91.83886759936689,116.86199340162769,0.6704640988248204,0.5526912794345049,-0.5102336547417914
LC301,6,6,952.0,790.9186604932054,59.9000678745738,68.25443759635743,0.4800492750452885,0.37752143618428863,-0.16920308771722117
LC107,6,6,948.0,819.6934141998596,42.099006764288674,45.90534906106557,0.3305542918341226,0.2664494099005612,-0.1353444997891778
LC219,6,6,922.0,761.7505823597171,79.30713209573783,94.27287075353176,0.7074322750614267,0.5160984735080553,-0.17380630980507894
LC125,6,6,888.0,812.5141923759193,55.45959969840046,69.88985845090296,0.40687292805667746,0.3747270249891923,-0.08500654011720797
LC324,6,6,813.0,758.3926670181229,70.598792383926,74.50535785408692,0.6438232800523113,0.5210242980363542,-0.06716769124462127
LC302,6,6,809.0,630.1484524500722,29.808591258321304,40.118039904547274,0.2644584906820138,0.221077314647624,-0.221077314647624
LC821,6,6,777.0,720.6555965385237,63.0783272760469,82.48084872968009,0.5888637712354977,0.48709133031696444,-0.0725153197702397
LC944,6,6,771.0,871.8494520555322,63.85320491597889,82.41478895417517,0.5129886722944095,0.4969121005134544,0.13080343976074227
LC505,6,6,770.0,495.2646265269845,62.77888507790922,89.41016415429436,0.7501018361489796,0.48918611749020174,-0.35679918632859153
LC127,6,6,768.0,947.6803690339972,45.67939695600205,60.70731245782372,0.33918771087573757,0.356870288718766,0.23395881384635042
LC420,6,6,767.0,681.3283956563721,36.68185057284109,42.64324609547733,0.39045309334619666,0.28695059118259003,-0.11169700696692027
LC235,6,6,760.0,663.7626422108344,33.854102136246645,42.8374028071435,0.36301952387505154,0.26726922739142084,-0.1266281023541651
LC213,6,6,755.0,749.0591421644797,69.17385283467794,90.68351304204735,0.7826290485902808,0.5497259827921426,-0.007868685874861312
LC954,6,6,744.0,863.3524907808177,29.261458616160027,36.14009213687022,0.2586148509963086,0.23597950496903247,0.16042001449034649
LC234,6,6,740.0,564.5585372557791,50.68639655651517,71.53483538886145,0.45562186156354434,0.4109707828906635,-0.23708305776246053
LC552,6,6,738.0,909.9799779179679,74.98706489388378,83.60336514412911,0.624534208488399,0.6096509340966161,0.2330352004308509
LC311,6,6,735.0,516.0249419081313,46.294274130600336,53.426750844467236,0.4572467759953078,0.3779124418824517,-0.2979252491045834
LC224,6,6,733.0,704.0998528310743,44.66667884033665,46.553334954641436,0.4710471544800696,0.3656208363465483,-0.03942721305446907
LC214,6,6,733.0,858.6283545733417,63.006856536182134,85.99932659420035,0.6122595230503182,0.5157450739660202,0.17138929682584136
LC895,6,6,723.0,656.7619414612708,60.75953256886661,63.97592730997513,0.5463026648388171,0.5042284860486855,-0.09161557197611239
LC206,6,6,718.0,729.620880621156,47.580925640145836,50.200751959747535,0.4464531680483214,0.39761219197893455,0.016185070503002514
LC409,6,6,693.0,886.7107781099694,41.40758632178737,53.323102439860065,0.46395949267835057,0.35850724088127595,0.27952493233761816
LC939,6,6,689.0,664.2804569052797,30.7562918580373,35.593660634633764,0.2865798273390663,0.26783418163748013,-0.03587742103732976
LC201,6,6,680.0,573.0767186696598,29.277154847889054,38.76799829571433,0.30621623307747153,0.2583278368931387,-0.15724011960344134
LC571,6,6,674.0,835.2581422218934,61.43568679233487,72.00862549395409,0.6099406204709759,0.5469052236706368,0.23925540389004962
LC522,6,6,659.0,712.8469645026556,51.95424217944486,59.518045880955306,0.47196683102410714,0.4730280016337924,0.08171011305410554
LC212,6,6,652.0,585.4036553423383,47.26022700983131,54.11544931816985,0.6074823706669187,0.43491006450765013,-0.10214163291052397
LC529,6,6,651.0,400.46362861853873,72.63071866410412,86.72712098211811,0.7923855696150796,0.6694075452912822,-0.38484849674571625
LC326,6,6,634.0,335.6916182368821,61.42178021403766,80.4930273982538,0.6642832468256047,0.5812786771044574,-0.47051795230775695
LC223,6,6,628.0,536.0954100136164,77.95733109891738,90.84192203511829,0.8744203674062553,0.7448152652762806,-0.14634488851334973
LC901,6,6,619.0,473.11409723817223,36.17339790468233,44.89698019264734,0.42135088725444864,0.3506306743587948,-0.23567997215157968
LC1027,6,6,600.0,16.921357487772276,102.73181774232681,244.87792415181283,1.9997054351913885,1.027318177423268,-0.9717977375203795
LC572,6,6,595.0,400.131743818803,63.422736436916466,84.0938336944211,0.8217416566858285,0.6395570060865526,-0.32750967425411265
LC148,6,6,579.0,372.5149231218515,57.257111163192974,72.98891442595426,0.6754386497561115,0.5933379395149531,-0.3566236215512064
LC894,6,6,570.0,608.2788757012446,32.90147681048202,34.166915453733885,0.36532977594774657,0.3463313348471792,0.06715592228288524
LC988,6,6,566.0,530.0930173193232,79.43914549916605,98.51068955362628,0.8500144349418349,0.8421110830300288,-0.06343989872911102
